headline,links,text,Paper_Name,Story_type
"FinCEN Files | Antiques smuggler in TN jail, and a trade that flourished even after his arrest",https://indianexpress.com/article/express-exclusive/fincen-filesremove-antiques-smuggler-in-tamil-nadu-jail-and-a-trade-that-flourished-even-after-his-arrest-6606764/,"FinCEN Files | Antiques smuggler in TN jail, and a trade that flourished even after his arrest",Indian_Express,Top_Stories
"India, China agree no more escalation, to see if it holds",https://indianexpress.com/article/india/india-china-agree-no-more-escalation-to-see-if-it-holds-6606802/,"India, China agree no more escalation, to see if it holds",Indian_Express,Top_Stories
"As Sept surge sweeps rural Maharashtra, hunt for beds",https://indianexpress.com/article/india/as-sept-surge-sweeps-rural-maharashtra-hunt-for-beds-6606828/,"As Sept surge sweeps rural Maharashtra, hunt for beds",Indian_Express,Top_Stories
Explained: How remunerative is farming at present?,https://indianexpress.com/article/explained/simply-put-the-farmer-a-field-report-6606785/,Explained: How remunerative is farming at present?,Indian_Express,Top_Stories
"Ravi Shankar Prasad: â€˜Our commitment to farmers remains, Opposition will be exposedâ€™",https://indianexpress.com/article/india/ravi-shankar-prasad-our-commitment-to-farmers-remains-once-people-realise-it-opposition-will-be-exposed-6606797/,"Ravi Shankar Prasad: â€˜Our commitment to farmers remains, Opposition will be exposedâ€™",Indian_Express,Top_Stories
Cyprus to Isle of Man: Over 100 transactions linked to Max chairman,https://indianexpress.com/article/express-exclusive/fincen-files-cyprus-to-isle-of-man-over-100-transactions-linked-to-max-chairman-6606773/,Cyprus to Isle of Man: Over 100 transactions linked to Max chairman,Indian_Express,Main_Story
Mumbai Rains LIVE: City municipal commissioner asks citizens to remain indoors,https://liveupdates.hindustantimes.com/india/mumbai-rains-live-updates-western-railway-suspends-services-due-to-waterlogging-21600829580738.html,Mumbai Rains LIVE: City municipal commissioner asks citizens to remain indoors,The_HT,Top_Stories
Landslide warning in north Bengal including Darjeeling and Kalimpong,https://www.hindustantimes.com/kolkata/landslide-warning-in-north-bengal-including-darjeeling-and-kalimpong/story-hPqeXjra6v1PEYIvwSGfQL.html,Landslide warning in north Bengal including Darjeeling and Kalimpong,The_HT,Top_Stories
Would Tendulkar score a ton without spectators? Laxman gives fitting reply,https://www.hindustantimes.com/cricket/would-sachin-tendulkar-score-a-ton-without-spectators-vvs-laxman-gives-fitting-reply/story-XEqAH4wmULiKWKxEHYk9zO.html,Would Tendulkar score a ton without spectators? Laxman gives fitting reply,The_HT,Top_Stories
IPL 2020: Dhoni explains why he batted at No. 7 for CSK against RR,https://www.hindustantimes.com/cricket/ipl-2020-ms-dhoni-explains-the-reason-behind-batting-at-no-7-for-csk-against-rr/story-FBDhclFh3mHEGjkwt4AhTM.html,IPL 2020: Dhoni explains why he batted at No. 7 for CSK against RR,The_HT,Top_Stories
